canonical_origin,etld1,enroll_url,cluster_size,snapshot_count,source
https://0pass.com,0pass.com,,1,0,community|community:fidoalliance.org|community:hideez.com|community:passkeyindex.io
https://101domain.com,101domain.com,,1,0,community|community:fidoalliance.org|community:hideez.com|community:passkeys.2stable.com
https://1040.com,1040.com,,1,0,community|community:passkeys.2stable.com
https://10web.io,10web.io,,1,0,community|community:passkeys.2stable.com
https://123-reg.co.uk,123-reg.co.uk,,1,0,community|community:2fa.directory
https://1password.com,1password.com,,1,0,community|community:2fa.directory|community:fidoalliance.org|community:hideez.com|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com
https://3saf.com,3saf.com,,1,1,endpoints
https://aasavis.no,aasavis.no,,1,0,community
https://abanca.com,abanca.com,,1,0,community|community:fidoalliance.org|community:passkeyindex.io|community:passkeys-directory.dashlane.com
https://accounts.principal.com,principal.com,,2,1,webauthn|webauthn-related
https://activated.win,activated.win,,1,0,community
https://adafruit.com,adafruit.com,,1,0,community|community:2fa.directory|community:passkeys.2fa.directory
https://adidas.com,adidas.com,,1,0,community
https://adobe.com,adobe.com,https://account.adobe.com/security?addPasskey,2,1,community|community:enpass.io|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io|endpoints
https://aero.zip,aero.zip,,1,0,community|community:2fa.directory|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory
https://afasonline.nl,afasonline.nl,,1,0,community|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.directory
https://affirm.com,affirm.com,,1,0,community|community:fidoalliance.org|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io
https://aflac.com,aflac.com,,1,0,community|community:fidoalliance.org|community:passkeyindex.io|community:passkeys-directory.dashlane.com
